"year","month","fp","NET","lEUA","euindout2","exc2","FreightIndex"
2014,10,"3",498268544,1.84687876844913,97.4000015258789,1.2901,1428
2014,11,"3",532571200,1.95160817016995,97,1.2673,1153
2014,12,"3",418827392,1.98100146886658,98.1999969482422,1.2472,782
2015,1,"3",704573632,1.95727390770563,98,1.2331,608
2015,2,"3",599936128,1.96009478404727,99.8000030517578,1.1621,540
2015,3,"3",638794752,1.93441576962958,100.300003051758,1.135,602
2015,4,"3",604809088,2.00012773496011,99.5,1.0838,591
2015,5,"3",546177408,1.99061032797322,100,1.0779,589
2015,6,"3",600595712,2.00417905717929,100.300003051758,1.115,800
2015,7,"3",465316736,2.06051353179432,100.599998474121,1.1213,1131
2015,8,"3",506850176,2.08567209143047,99.8000030517578,1.0996,903
2015,9,"3",509484928,2.09556092355972,100.400001525879,1.1139,900
2015,10,"3",543706880,2.15524450509534,100.699996948242,1.1221,721
2015,11,"3",382149120,2.14943391349987,100.300003051758,1.1235,584
2015,12,"3",309678016,2.10657020906809,100.400001525879,1.0736,478
2016,1,"3",451572480,1.79840401194672,102.699996948242,1.0877,317
2016,2,"3",495052928,1.60743590976343,101.300003051758,1.086,329
2016,3,"3",488940288,1.64865862558738,100.699996948242,1.1093,429
2016,4,"3",470863744,1.8196988379173,101.800003051758,1.11,703
2016,5,"3",578322560,1.80500469597808,100.5,1.1339,612
2016,6,"3",544513280,1.49514876603197,101.400001525879,1.1311,660
2016,7,"3",413363584,1.48387468945875,101.599998474121,1.1229,656
2016,8,"3",408285248,1.49514876603197,101.800003051758,1.1069,711
2016,9,"3",570035456,1.60140574073684,101.800003051758,1.1212,875
2016,10,"3",456151680,1.77495235091167,103,1.1212,857
2016,11,"3",425382912,1.52169899812609,103,1.1026,1204
2016,12,"3",233923072,1.87793716546911,103.099998474121,1.0799,961
2017,1,"3",608055168,1.72455071953461,102.300003051758,1.0543,800
2017,2,"3",569908864,1.70292825552144,103.599998474121,1.0614,859
2017,3,"3",641900032,1.60140574073684,103.699996948242,1.0643,1297
2017,4,"3",611944064,1.5810384379124,104.099998474121,1.0685,1109
2017,5,"3",748862336,1.66203036255327,104.699996948242,1.0723,878
2017,6,"3",668877440,1.6752256529721,104.300003051758,1.1058,901
2017,7,"3",619150208,1.73165554515835,105.300003051758,1.1229,946
2017,8,"3",574458880,1.86562931779451,106.400001525879,1.1511,1184
2017,9,"3",578807424,2.01623546577604,105.699996948242,1.1807,1356
2017,10,"3",680984832,2.04251818757524,106.699996948242,1.1915,1522
2017,11,"3",662242688,2.06178660644112,108.199996948242,1.1756,1578
2017,12,"3",333048320,2.13888900032326,108.900001525879,1.1738,1366
2018,1,"3",859005312,2.26695791535089,106.800003051758,1.1836,1152
2018,2,"3",654845824,2.35232718488886,105.900001525879,1.22,1192
2018,3,"3",586795008,2.61958321977988,105.900001525879,1.2348,1055
2018,4,"3",752842624,2.65815943148875,106,1.2336,1341
2018,5,"3",771539072,2.75747508442973,107.5,1.2276,1090
2018,6,"3",881551744,2.77258872223978,107.699996948242,1.1812,1385
2018,7,"3",815513984,2.93066027681028,106.300003051758,1.1678,1747
2018,8,"3",758860160,3.11440380327149,107.699996948242,1.1686,1579
2018,9,"3",749723392,3.16251709119882,107.300003051758,1.1549,1540
2018,10,"3",978597376,2.87863650167774,107.800003051758,1.1659,1490
2018,11,"3",722652928,3.09421922026864,106.400001525879,1.1484,1231
2018,12,"3",439218112,3.26956893918372,107.300003051758,1.1367,1271
2019,1,"3",835531776,3.1471649773142,107.099998474121,1.1384,668
2019,2,"3",710374912,3.11440380327149,107.900001525879,1.1416,658
2019,3,"3",612734976,3.10458667846607,107.900001525879,1.1351,689
2019,4,"3",650133760,3.29398329735501,107.099998474121,1.1302,1011
2019,5,"3",785439744,3.21967550503877,107.699996948242,1.1238,1096
2019,6,"3",563747328,3.29768700529249,106.599998474121,1.1185,1354
2019,7,"3",634098688,3.36176331241675,106.400001525879,1.1293,1868
2019,8,"3",580666752,3.29398329735501,106.800003051758,1.1218,2378
2019,9,"3",604893184,3.23317312956903,107,1.1126,1823
2019,10,"3",667130752,3.25924971900647,107,1.1004,1731
2019,11,"3",502380416,3.24298290021143,106.099998474121,1.1053,1528
2019,12,"3",402933696,3.21326008608257,104.5,1.1051,1090
2020,1,"3",672495360,3.18055071054653,106.900001525879,1.1113,487
2020,2,"3",633049984,3.16968558067743,106.699996948242,1.11,535
2020,3,"3",511469696,2.89203703721523,95.1999969482422,1.0905,626
2020,4,"3",557604800,2.99272776453369,78.0999984741211,1.1063,635
2020,5,"3",471738624,3.08007342198774,89.3000030517578,1.0862,504
2020,6,"3",492170560,3.3057871968575,97.4000015258789,1.0902,1799
2020,7,"3",420760192,3.28241384567219,100.400001525879,1.1255,1350
2020,8,"3",458438080,3.36798524745604,102.300003051758,1.1463,1488
2020,9,"3",431995136,3.30100865440672,102.300003051758,1.1828,1725
2020,10,"3",484148352,3.1730412885244,103.699996948242,1.1792,1283
2020,11,"3",546238720,3.37895177271484,107.099998474121,1.1775,1227
2020,12,"3",330641920,3.48798651173455,106.699996948242,1.1838,1366
2021,1,"4",817841088,3.49499126094852,107.800003051758,1.217,1452
2021,2,"4",549122432,3.61845698981739,106.199996948242,1.2171,1675
2021,3,"4",798289152,3.75067985501938,107.5,1.2098,2046
2021,4,"4",621675904,3.8885496492425,108,1.1899,3053
2021,5,"4",909510656,3.94545778151438,107.099998474121,1.1979,2596
2021,6,"4",939417344,4.03742141482248,107.400001525879,1.2146,3383
2021,7,"4",847481728,3.97499780458953,107.699996948242,1.2047,3292
2021,8,"4",976267904,4.10280864063423,106.599998474121,1.1822,4132
2021,9,"4",1096490880,4.12309397550809,106,1.1772,5167
2021,10,"4",1040776576,4.07736793801498,105.199996948242,1.177,3519
2021,11,"4",1343888128,4.32479468871875,107.599998474121,1.1601,3018
2021,12,"4",1431038592,4.39011880457122,108.699996948242,1.1414,2217
